State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,San Diego,8,11,9,1,0,1,9,8,9,4,1441737
California,Cities,San Francisco,35,5,22,0,0,2,17,17,24,6,886007
California,Cities,San Gabriel,2,0,0,0,0,0,0,1,1,0,40422
California,Cities,San Jose,13,7,10,1,0,2,9,8,7,9,1040008
California,Cities,San Leandro,0,0,2,0,0,0,1,1,0,0,90297
California,Cities,San Luis Obispo,6,2,1,0,0,1,1,2,2,5,47735
California,Cities,San Marcos,1,1,0,0,0,0,1,0,0,1,98598
California,Cities,San Mateo,7,0,0,0,0,0,1,0,1,5,106020
California,Cities,San Rafael,5,0,1,0,0,0,1,1,2,2,58819
California,Cities,San Ramon,2,0,1,0,0,0,1,1,1,0,76387
California,Cities,Santa Ana,3,6,2,0,0,0,2,4,3,2,333664
California,Cities,Santa Clarita,1,1,0,0,0,0,0,1,1,0,218103
California,Cities,Santa Cruz,1,0,1,0,0,0,1,1,0,0,65263
California,Cities,Santa Monica,1,2,1,0,0,0,1,0,2,1,91621
California,Cities,Santa Rosa,2,0,2,0,1,0,2,1,2,0,177884
California,Cities,Seaside,1,1,0,0,0,0,1,1,0,0,34036
California,Cities,South El Monte,1,0,1,0,0,0,1,1,0,0,20852
California,Cities,South Lake Tahoe,0,1,0,0,0,0,0,1,0,0,22116
California,Cities,Stockton,1,2,1,0,0,0,0,1,1,2,313604
California,Cities,Sunnyvale,2,4,0,0,0,0,1,2,0,3,154859
California,Cities,Temecula,1,0,0,0,0,0,0,0,0,1,116630
California,Cities,Thousand Oaks,0,0,1,0,0,0,0,1,0,0,127811
California,Cities,Torrance,1,0,1,0,0,0,0,0,2,0,145183
California,Cities,Tracy,0,1,0,0,0,0,1,0,0,0,92895
California,Cities,Turlock,1,1,1,0,0,0,2,0,0,1,74120
California,Cities,Union City,6,0,0,0,0,0,5,1,0,0,75202
California,Cities,Upland,2,0,0,0,0,0,0,0,0,2,77398
California,Cities,Vacaville,5,0,0,0,0,0,0,3,0,2,101147
California,Cities,Ventura,2,1,1,0,0,0,1,1,1,1,111596
California,Cities,Walnut Creek,2,2,1,0,0,0,1,2,1,1,70546
California,Cities,West Hollywood,0,1,0,0,0,0,1,0,0,0,37173
California,Cities,Westminster,2,1,0,0,0,0,2,,0,1,91086
California,Cities,Whittier,0,0,1,0,0,0,0,,0,1,86158
California,Cities,Windsor,1,0,0,0,0,0,1,0,0,0,27981
California,Cities,Yorba Linda,1,0,1,0,0,0,0,0,2,0,68225
California,Cities,Yuba City,0,0,0,0,0,1,0,0,1,0,67164
California,Cities,Yucca Valley,0,0,1,0,0,0,1,,0,0,21858
California,Universities and Colleges,Chico,1,0,0,0,0,0,0,1,0,0,19754
California,Universities and Colleges,East Bay,1,0,0,0,0,0,1,0,0,0,19613
California,Universities and Colleges,Northridge,1,0,0,0,0,0,0,0,0,1,44639
California,Universities and Colleges,Humboldt State University,7,1,0,0,0,0,1,4,0,3,9262
California,Universities and Colleges,San Diego State University,1,0,0,0,0,0,0,1,0,0,37748
California,Universities and Colleges,San Francisco State University,1,0,0,0,0,0,0,0,1,0,33506
California,Universities and Colleges,Davis,4,0,0,0,0,0,0,2,1,1,39783
California,Universities and Colleges,Irvine,1,0,0,0,0,0,0,0,0,1,37170
California,Universities and Colleges,San Diego,0,1,1,0,0,0,1,1,0,0,37744
California,Metropolitan Counties ,Los Angeles,10,1,3,0,1,0,5,5,3,2,
California,Metropolitan Counties ,Marin,2,2,0,0,0,0,0,2,2,0,
California,Metropolitan Counties ,Merced,1,0,0,0,0,0,1,0,0,0,
California,Metropolitan Counties ,Monterey,1,0,0,0,0,0,0,0,1,0,
California,Metropolitan Counties ,Napa,1,0,1,0,0,0,0,0,2,0,
California,Metropolitan Counties ,Orange,6,1,1,1,0,0,1,4,2,2,
California,Metropolitan Counties ,Riverside,3,1,1,0,0,0,2,1,1,1,
California,Metropolitan Counties ,Sacramento,2,0,0,0,0,2,0,1,1,2,
California,Metropolitan Counties ,San Bernardino,0,0,2,0,0,0,2,,0,0,
California,Metropolitan Counties ,San Diego,12,4,6,1,0,1,6,7,8,3,
California,Metropolitan Counties ,San Luis Obispo,0,1,1,0,0,0,0,0,1,1,
California,Metropolitan Counties ,San Mateo,3,0,1,0,0,0,0,0,3,1,
California,Metropolitan Counties ,Santa Barbara,0,1,0,0,0,0,0,0,1,0,
California,Metropolitan Counties ,Santa Clara,4,1,0,0,0,0,1,1,2,1,
California,Metropolitan Counties ,Santa Cruz,6,0,1,0,0,0,2,2,1,2,
California,Metropolitan Counties ,Tulare,1,0,0,0,0,0,0,0,0,1,
California,Nonmetropolitan Counties ,Glenn,0,0,1,0,0,0,,1,0,0,
